Korean;ko;KO;Korean;FALSE;SDG를 달성하기 위해 어떤 기술이 필요하다고 생각하시나요?;더 많은 컨텍스트를 제공하기 위한 몇 가지 설명
Krio;kri;;;;;
Kurdish;ku;;;;;
Kurdish (Sorani);ckb;;;;;
Kyrgyz;ky;;;;;
Lao;lo;;;;;
Latin;la;;;;;
Latvian;lv;LV;Latvian;FALSE;Kādas prasmes, jūsuprāt, ir nepieciešamas, lai sasniegtu ilgtspējīgas attīstības mērķi?;Daži apraksti, lai sniegtu plašāku kontekstu
Lingala;ln;;;;;
Lithuanian;lt;LT;Lithuanian;FALSE;Kokių įgūdžių, jūsų nuomone, reikia, kad būtų pasiektas DVT?;Keletas aprašymų, suteikiančių daugiau konteksto
Luganda;lg;;;;;
Luxembourgish;lb;;;;;
Macedonian;mk;;;;;
Maithili;mai;;;;;
Malagasy;mg;;;;;
Malay;ms;;;;;
Malayalam;ml;;;;;
Maltese;mt;;;;;
Maori;mi;;;;;
Marathi;mr;;;;;
Meiteilon (Manipuri);mni-Mtei;;;;;
Mizo;lus;;;;;
Mongolian;mn;;;;;
Myanmar (Burmese);my;;;;;
Nepali;ne;;;;;
Norwegian;no;NB;Norwegian (Bokmål);FALSE;Hvilke ferdigheter mener du er nødvendige for å nå bærekraftsmålene?;Noen beskrivelser for å gi mer kontekst
Nyanja (Chichewa);ny;;;;;
Odia (Oriya);or;;;;;
Oromo;om;;;;;
Pashto;ps;;;;;
Persian;fa;;;;;
Polish;pl;PL;Polish;TRUE;Jakie umiejętności są potrzebne, Twoim zdaniem, do osiągnięcia SDG?;Kilka opisów, aby nadać więcej kontekstu
;;PT-BR;Portuguese (Brazilian);TRUE;Quais habilidades são necessárias, em sua opinião, para alcançar os ODS?;Algumas descrições para dar mais contexto
Portuguese (Portugal, Brazil);pt;PT-PT;Portuguese (European);TRUE;Que competências são necessárias, na sua opinião, para atingir os ODS?;Algumas descrições para dar mais contexto
Punjabi;pa;;;;;
Quechua;qu;;;;;
Romanian;ro;RO;Romanian;FALSE;Ce competențe sunt necesare, în opinia dumneavoastră, pentru a atinge ODD?;Câteva descrieri pentru a oferi mai mult context
Russian;ru;RU;Russian;TRUE;Какие навыки необходимы, по вашему мнению, для достижения ЦУР?;Некоторые описания, чтобы дать больше контекста
Samoan;sm;;;;;
Sanskrit;sa;;;;;
Scots Gaelic;gd;;;;;
Sepedi;nso;;;;;
Serbian;sr;;;;;
Sesotho;st;;;;;
Shona;sn;;;;;
Sindhi;sd;;;;;
Sinhala (Sinhalese);si;;;;;
Slovak;sk;SK;Slovak;FALSE;Aké zručnosti sú podľa vás potrebné na dosiahnutie SDG?;Niekoľko opisov na doplnenie kontextu
Slovenian;sl;;;;;
Somali;so;;;;;
Spanish;es;ES;Spanish;TRUE;¿Qué competencias son necesarias, en su opinión, para alcanzar los ODS?;Algunas descripciones para dar más contexto
Sundanese;su;;;;;
Swahili;sw;;;;;
Swedish;sv;SV;Swedish;FALSE;Vilka färdigheter behövs enligt din åsikt för att uppnå målen för hållbar utveckling?;Några beskrivningar för att ge ett bättre sammanhang
Tagalog (Filipino);tl;;;;;
Tajik;tg;;;;;
Tamil;ta;;;;;
Tatar;tt;;;;;
Telugu;te;;;;;
Thai;th;;;;;
Tigrinya;ti;;;;;
Tsonga;ts;;;;;
Turkish;tr;TR;Turkish;FALSE;Sizce SKH'ye ulaşmak için hangi becerilere ihtiyaç var?;Daha fazla bağlam sağlamak için bazı açıklamalar
Turkmen;tk;;;;;
Twi (Akan);ak;;;;;
Ukrainian;uk;UK;Ukrainian;FALSE;Які навички, на вашу думку, необхідні для досягнення ЦСР?;Деякий опис, щоб надати більше контексту
Urdu;ur;;;;;
Uyghur;ug;;;;;
Uzbek;uz;;;;;
Vietnamese;vi;;;;;
Welsh;cy;;;;;
Xhosa;xh;;;;;
Yiddish;yi;;;;;
Yoruba;yo;;;;;
Zulu;zu;;;;;
